,precision,recall,f1-score,support
0,1.0,1.0,1.0,36.0
1,0.9459459459459459,0.9722222222222222,0.958904109589041,36.0
2,1.0,1.0,1.0,35.0
3,1.0,1.0,1.0,37.0
4,0.9459459459459459,0.9722222222222222,0.958904109589041,36.0
5,0.9736842105263158,1.0,0.9866666666666667,37.0
6,0.972972972972973,1.0,0.9863013698630136,36.0
7,0.9459459459459459,0.9722222222222222,0.958904109589041,36.0
8,1.0,0.9142857142857143,0.9552238805970149,35.0
9,1.0,0.9444444444444444,0.9714285714285714,36.0
accuracy,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777
macro avg,0.9784495021337127,0.9775396825396825,0.977633281732239,360.0
weighted avg,0.9783764027185081,0.9777777777777777,0.9777206228046549,360.0
